Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,Shares,PosValue,MktPref,P,Promoted
WBD,Communication Services,BUY_PULLBACK,BUY_PULLBACK,21,27.4,99.3,642556822,0.12,36.5,1.65,SMA50(27.83) 눌림 후 반등,27.40 부근 분할 또는 직전 고가 상향 시,SMA50(27.83) 이탈 또는 Stop 26.49,MACD 완만개선,,RSI 36.5 | ✅ 50~100조 선호,27.4,26.49,30.0,2.89,459.0,12574.31,1,1,False
AVGO,Technology,BUY_PULLBACK,BUY_PULLBACK,32,346.15,2307.9,9029015755,0.36,57.5,4.55,SMA50(350.57) 눌림 후 반등,346.15 부근 분할 또는 직전 고가 상향 시,SMA50(350.57) 이탈 또는 Stop 314.66,"MACD 상향크로스, RSI 58",CROSS_UP,RSI 57.5,346.15,314.66,414.61,2.17,13.0,4499.95,0,1,False
BLK,Financial Services,BUY_PULLBACK,BUY_PULLBACK,10,1070.88,239.9,881298063,0.3,39.5,2.71,SMA50(1088.87) 눌림 후 반등,1070.88 부근 분할 또는 직전 고가 상향 시,SMA50(1088.87) 이탈 또는 Stop 1012.88,,,RSI 39.5,1070.88,1012.88,1181.36,1.9,7.0,7496.16,0,1,False
SCHW,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,52,106.42,279.2,999181132,0.28,66.6,2.39,트리거: 106.63 상향 돌파(20D High),106.63 돌파+거래량 동반 시,SMA50(99.98) 이탈 또는 Stop 101.33,"20D high 근접, MACD 상향크로스, RSI 67",CROSS_UP,현재 Vol 0.28x,,,,,,,0,2,False
DIA,Unknown,WATCH_BREAKOUT,WATCH_BREAKOUT,51,501.03,59.6,3296831427,0.46,67.1,1.24,트리거: 502.14 상향 돌파(20D High),502.14 돌파+거래량 동반 시,SMA50(486.91) 이탈 또는 Stop 488.63,"20D high 근접, MACD 완만개선, RSI 67",,현재 Vol 0.46x | ✅ 50~100조 선호,,,,,,,1,2,False
VLO,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51,202.16,92.2,595120732,0.23,70.0,3.51,트리거: 204.14 상향 돌파(20D High),204.14 돌파+거래량 동반 시,SMA50(178.01) 이탈 또는 Stop 187.96,"20D high 근접, MACD 완만개선, RSI 70",,현재 Vol 0.23x | ✅ 50~100조 선호,,,,,,,1,2,False
ROST,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,51,193.27,90.8,453953475,0.16,57.8,1.86,트리거: 194.92 상향 돌파(20D High),194.92 돌파+거래량 동반 시,SMA50(184.99) 이탈 또는 Stop 186.08,"20D high 근접, MACD 완만개선, RSI 58",,현재 Vol 0.16x | ✅ 50~100조 선호,,,,,,,1,2,False
AEP,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,51,121.22,94.7,392743394,0.25,58.3,1.81,트리거: 122.44 상향 돌파(20D High),122.44 돌파+거래량 동반 시,SMA50(117.37) 이탈 또는 Stop 116.83,"20D high 근접, MACD 완만개선, RSI 58",,현재 Vol 0.25x | ✅ 50~100조 선호,,,,,,,1,2,False
JPM,Financial Services,WATCH_BREAKOUT,WATCH_BREAKOUT,43,324.47,1284.9,3900711559,0.32,71.0,2.07,트리거: 326.86 상향 돌파(20D High),326.86 돌파+거래량 동반 시,SMA50(315.23) 이탈 또는 Stop 311.04,"20D high 근접, MACD 완만개선, RSI 71",,현재 Vol 0.32x,,,,,,,0,2,False
COST,Consumer Defensive,WATCH_BREAKOUT,WATCH_BREAKOUT,43,1001.24,650.7,2453797534,0.25,63.6,1.99,트리거: 1009.62 상향 돌파(20D High),1009.62 돌파+거래량 동반 시,SMA50(917.08) 이탈 또는 Stop 961.37,"20D high 근접, MACD 완만개선, RSI 64",,현재 Vol 0.25x,,,,,,,0,2,False
