Ticker,Sector,Entry,EntryRaw,Score,Close,MktCap_KRW_T,Avg$Vol,VolRatio,RSI,ATR%,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,RR,EV,Prob,Shares,PosValue,MktPref,P,Promoted
DLTR,Consumer Defensive,BUY_PULLBACK,BUY_PULLBACK,32,128.43,36.4,401190615,1.18,49.2,3.02,SMA50(125.90) 눌림 후 반등(필터 통과),128.43 부근 분할 또는 직전 고가 상향 시,SMA50(125.90) 이탈 또는 Stop 120.68,"MACD 상향크로스, RSI 49",CROSS_UP,RSI 49.2,128.43,120.68,142.4,1.8,1.29,0.82,53.0,6807.0,0,1,False
EOG,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,65,117.85,90.9,590226473,1.56,68.4,2.9,트리거: 118.30 상향 돌파(20D High) | 품질: close_not_confirm(need>118.42),118.30 위 '종가확인' + 거래량 유지 시,SMA50(108.25) 이탈 또는 Stop 111.01,"20D high 근접, Vol 1.6x, MACD 완만개선, RSI 68",,현재 Vol 1.56x (BUY 기준 1.5x) | ✅ 50~100조 선호,,,,,-0.12,0.88,,,1,3,False
LIN,Basic Materials,WATCH_BREAKOUT,WATCH_BREAKOUT,60,472.86,316.1,1232358816,1.39,63.6,1.97,트리거: 477.33 상향 돌파(20D High),477.33 돌파+거래량 동반 시,SMA50(434.45) 이탈 또는 Stop 454.27,"20D high 근접, Vol 1.4x (약), MACD 상향크로스, RSI 64",CROSS_UP,현재 Vol 1.39x,,,,,-0.1,0.9,,,0,3,False
SEE,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,57,41.95,9.0,117403701,1.77,67.4,0.23,트리거: 42.00 상향 돌파(20D High) | 품질: close_not_confirm(need>42.04),42.00 위 '종가확인' + 거래량 유지 시,SMA50(41.72) 이탈 또는 Stop 41.76,"20D high 근접, Vol 1.8x, MACD 완만개선, RSI 67",,현재 Vol 1.77x (BUY 기준 1.5x),,,,,-0.11,0.89,,,0,3,False
KMI,Energy,WATCH_BREAKOUT,WATCH_BREAKOUT,51,31.69,99.3,478529926,0.96,71.8,2.18,트리거: 31.67 상향 돌파(20D High),31.67 돌파+거래량 동반 시,SMA50(28.21) 이탈 또는 Stop 30.31,"20D high 근접, MACD 완만개선, RSI 72",,현재 Vol 0.96x | ✅ 50~100조 선호,,,,,-0.23,0.77,,,1,3,False
FE,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,51,48.84,40.3,250899067,1.3,71.7,1.82,트리거: 48.10 상향 돌파(20D High),48.10 돌파+거래량 동반 시,SMA50(45.74) 이탈 또는 Stop 47.06,"20D high 근접, Vol 1.3x (약), MACD 완만개선, RSI 72",,현재 Vol 1.30x,,,,,-0.16,0.84,,,0,3,False
AKAM,Technology,WATCH_BREAKOUT,WATCH_BREAKOUT,45,104.61,19.9,390617564,2.73,63.7,4.09,트리거: 104.98 상향 돌파(20D High) | 품질: close_not_confirm(need>105.08),104.98 위 '종가확인' + 거래량 유지 시,SMA50(90.84) 이탈 또는 Stop 96.06,"Vol 2.7x (강함), MACD 상향크로스, RSI 64",CROSS_UP,현재 Vol 2.73x (BUY 기준 1.5x),,,,,-0.08,0.92,,,0,3,False
CROX,Consumer Cyclical,WATCH_BREAKOUT,WATCH_BREAKOUT,45,98.46,6.7,110038095,3.71,70.1,4.01,트리거: 88.50 상향 돌파(20D High) | 품질: gap_atr_high(3.49),88.50 위 '종가확인' + 거래량 유지 시,SMA50(86.78) 이탈 또는 Stop 90.56,"Vol 3.7x (강함), MACD 상향크로스, RSI 70",CROSS_UP,현재 Vol 3.71x (BUY 기준 1.5x),,,,,-0.09,0.91,,,0,3,False
ZTS,Healthcare,WATCH_BREAKOUT,WATCH_BREAKOUT,44,125.64,82.7,627055267,2.18,54.0,3.0,트리거: 129.95 상향 돌파(20D High) | 품질: close_not_confirm(need>130.08),129.95 위 '종가확인' + 거래량 유지 시,SMA50(124.10) 이탈 또는 Stop 118.10,"Vol 2.2x (강함), MACD 완만개선, RSI 54",,현재 Vol 2.18x (BUY 기준 1.5x) | ✅ 50~100조 선호,,,,,-0.1,0.9,,,1,3,False
EXC,Utilities,WATCH_BREAKOUT,WATCH_BREAKOUT,44,47.55,66.0,427984175,2.53,70.9,2.36,트리거: 45.23 상향 돌파(20D High) | 품질: gap_atr_high(1.31),45.23 위 '종가확인' + 거래량 유지 시,SMA50(44.03) 이탈 또는 Stop 45.31,"Vol 2.5x (강함), MACD 완만개선, RSI 71",,현재 Vol 2.53x (BUY 기준 1.5x) | ✅ 50~100조 선호,,,,,-0.12,0.88,,,1,3,False
